CONTRATO,ESTADO,estado_final
498346,NO CERTIFICADO,✅ Cumplidas
498990,CERTIFICADO,✅ Cumplidas
501152,NO CERTIFICADO,✅ Cumplidas
501701,CERTIFICADO,✅ Cumplidas
503227,CERTIFICADO,✅ Cumplidas
503639,CERTIFICADO,✅ Cumplidas
505806,VISITA NO EFECTIVA,❌ No efectiva
505958,CERTIFICADO,✅ Cumplidas
506318,CERTIFICADO,✅ Cumplidas
506327,NO CERTIFICADO,✅ Cumplidas
506334,CERTIFICADO,✅ Cumplidas
506373,CERTIFICADO,✅ Cumplidas
506521,CERTIFICADO,✅ Cumplidas
507061,CERTIFICADO,✅ Cumplidas
507154,VISITA NO EFECTIVA,❌ No efectiva
507637,CERTIFICADO,✅ Cumplidas
507907,CERTIFICADO,✅ Cumplidas
511104,CERTIFICADO,✅ Cumplidas
511343,CERTIFICADO,✅ Cumplidas
513357,CERTIFICADO,✅ Cumplidas
513616,CERTIFICADO,✅ Cumplidas
514242,CERTIFICADO,✅ Cumplidas
514589,CERTIFICADO,✅ Cumplidas
516917,CERTIFICADO,✅ Cumplidas
520410,CERTIFICADO,✅ Cumplidas
520465,NO CERTIFICADO,✅ Cumplidas
524359,CERTIFICADO,✅ Cumplidas
529124,CERTIFICADO,✅ Cumplidas
529166,CERTIFICADO,✅ Cumplidas
530678,VISITA NO EFECTIVA,❌ No efectiva
530720,CERTIFICADO,✅ Cumplidas
534614,CERTIFICADO,✅ Cumplidas
536462,CERTIFICADO,✅ Cumplidas
538710,CERTIFICADO,✅ Cumplidas
539543,CERTIFICADO,✅ Cumplidas
539704,CERTIFICADO,✅ Cumplidas
541179,CERTIFICADO,✅ Cumplidas
546555,CERTIFICADO,✅ Cumplidas
54764,CERTIFICADO,✅ Cumplidas
5516,CERTIFICADO,✅ Cumplidas
5517,CERTIFICADO,✅ Cumplidas
571657,CERTIFICADO,✅ Cumplidas
574984,VISITA NO EFECTIVA,❌ No efectiva
618756,CERTIFICADO,✅ Cumplidas
618761,CERTIFICADO,✅ Cumplidas
619099,CERTIFICADO,✅ Cumplidas
619118,CERTIFICADO,✅ Cumplidas
626303,CERTIFICADO,✅ Cumplidas
631441,CERTIFICADO,✅ Cumplidas
637881,CERTIFICADO,✅ Cumplidas
660864,CERTIFICADO,✅ Cumplidas
662831,NO CERTIFICADO,✅ Cumplidas
662845,VISITA NO EFECTIVA,❌ No efectiva
665077,CERTIFICADO,✅ Cumplidas
667356,CERTIFICADO,✅ Cumplidas
668422,VISITA NO EFECTIVA,❌ No efectiva
672183,CERTIFICADO,✅ Cumplidas
673051,CERTIFICADO,✅ Cumplidas
674192,CERTIFICADO,✅ Cumplidas
674418,CERTIFICADO,✅ Cumplidas
684528,CERTIFICADO,✅ Cumplidas
684765,CERTIFICADO,✅ Cumplidas
688523,CERTIFICADO,✅ Cumplidas
689339,CERTIFICADO,✅ Cumplidas
696705,CERTIFICADO,✅ Cumplidas
698688,VISITA NO EFECTIVA,❌ No efectiva
700148,CERTIFICADO,✅ Cumplidas
700343,CERTIFICADO,✅ Cumplidas
700867,CERTIFICADO,✅ Cumplidas
700949,CERTIFICADO,✅ Cumplidas
701083,CERTIFICADO,✅ Cumplidas
702353,CERTIFICADO,✅ Cumplidas
70396,CERTIFICADO,✅ Cumplidas
704123,CERTIFICADO,✅ Cumplidas
704188,CERTIFICADO,✅ Cumplidas
705356,NO CERTIFICADO,✅ Cumplidas
764143,NO CERTIFICADO,✅ Cumplidas
79225,CERTIFICADO,✅ Cumplidas
850025,VISITA NO EFECTIVA,❌ No efectiva
851828,CERTIFICADO,✅ Cumplidas
854657,CERTIFICADO,✅ Cumplidas
854953,CERTIFICADO,✅ Cumplidas
857886,CERTIFICADO,✅ Cumplidas
858791,CERTIFICADO,✅ Cumplidas
859225,CERTIFICADO,✅ Cumplidas
859755,NO CERTIFICADO,✅ Cumplidas
860054,CERTIFICADO,✅ Cumplidas
862373,VISITA NO EFECTIVA,❌ No efectiva
862962,CERTIFICADO,✅ Cumplidas
863994,NO CERTIFICADO,✅ Cumplidas
864375,CERTIFICADO,✅ Cumplidas
865314,CERTIFICADO,✅ Cumplidas
868168,CERTIFICADO,✅ Cumplidas
869414,CERTIFICADO,✅ Cumplidas
870817,CERTIFICADO,✅ Cumplidas
872207,CERTIFICADO,✅ Cumplidas
873322,CERTIFICADO,✅ Cumplidas
873893,CERTIFICADO,✅ Cumplidas
875352,VISITA NO EFECTIVA,❌ No efectiva
875524,CERTIFICADO,✅ Cumplidas
875546,CERTIFICADO,✅ Cumplidas
877857,CERTIFICADO,✅ Cumplidas
877975,NO CERTIFICADO,✅ Cumplidas
878038,CERTIFICADO,✅ Cumplidas
878080,CERTIFICADO,✅ Cumplidas
878431,CERTIFICADO,✅ Cumplidas
878710,CERTIFICADO,✅ Cumplidas
878956,CERTIFICADO,✅ Cumplidas
880293,CERTIFICADO,✅ Cumplidas
887271,CERTIFICADO,✅ Cumplidas
887284,CERTIFICADO,✅ Cumplidas
8938,VISITA NO EFECTIVA,❌ No efectiva
895945,NO CERTIFICADO,✅ Cumplidas
899075,CERTIFICADO,✅ Cumplidas
90001,CERTIFICADO,✅ Cumplidas
935865,CERTIFICADO,✅ Cumplidas
938418,CERTIFICADO,✅ Cumplidas
939631,CERTIFICADO,✅ Cumplidas
2403158,,! Pendiente
1011893,CERTIFICADO,✅ Cumplidas
1020357,VISITA NO EFECTIVA,❌ No efectiva
1022322,CERTIFICADO,✅ Cumplidas
1025020,CERTIFICADO,✅ Cumplidas
102519,CERTIFICADO,✅ Cumplidas
1026669,CERTIFICADO,✅ Cumplidas
1030269,CERTIFICADO,✅ Cumplidas
1030862,CERTIFICADO,✅ Cumplidas
1032912,CERTIFICADO,✅ Cumplidas
1036797,CERTIFICADO,✅ Cumplidas
1036821,VISITA NO EFECTIVA,❌ No efectiva
1038014,VISITA NO EFECTIVA,❌ No efectiva
10405,CERTIFICADO,✅ Cumplidas
1041521,CERTIFICADO,✅ Cumplidas
1047230,CERTIFICADO,✅ Cumplidas
1048375,CERTIFICADO,✅ Cumplidas
1048907,CERTIFICADO,✅ Cumplidas
1050221,CERTIFICADO,✅ Cumplidas
1051701,VISITA NO EFECTIVA,❌ No efectiva
1051896,NO CERTIFICADO,✅ Cumplidas
1055107,CERTIFICADO,✅ Cumplidas
1057848,VISITA NO EFECTIVA,❌ No efectiva
107364,NO CERTIFICADO,✅ Cumplidas
1073731,VISITA NO EFECTIVA,❌ No efectiva
1081448,CERTIFICADO,✅ Cumplidas
1081466,CERTIFICADO,✅ Cumplidas
1082296,VISITA NO EFECTIVA,❌ No efectiva
1082463,CERTIFICADO,✅ Cumplidas
1085041,CERTIFICADO,✅ Cumplidas
108527,NO CERTIFICADO,✅ Cumplidas
1086919,CERTIFICADO,✅ Cumplidas
1087337,CERTIFICADO,✅ Cumplidas
1087345,NO CERTIFICADO,✅ Cumplidas
1088022,CERTIFICADO,✅ Cumplidas
1088023,VISITA NO EFECTIVA,❌ No efectiva
109023,CERTIFICADO,✅ Cumplidas
1091775,CERTIFICADO,✅ Cumplidas
1093865,CERTIFICADO,✅ Cumplidas
1094875,VISITA NO EFECTIVA,❌ No efectiva
1095927,CERTIFICADO,✅ Cumplidas
1096620,CERTIFICADO,✅ Cumplidas
1097277,CERTIFICADO,✅ Cumplidas
1097785,CERTIFICADO,✅ Cumplidas
1099536,NO CERTIFICADO,✅ Cumplidas
1101935,CERTIFICADO,✅ Cumplidas
1103291,VISITA NO EFECTIVA,❌ No efectiva
1105463,CERTIFICADO,✅ Cumplidas
1106739,VISITA NO EFECTIVA,❌ No efectiva
1107481,VISITA NO EFECTIVA,❌ No efectiva
1110191,NO CERTIFICADO,✅ Cumplidas
1112949,CERTIFICADO,✅ Cumplidas
1115665,VISITA NO EFECTIVA,❌ No efectiva
1117821,CERTIFICADO,✅ Cumplidas
1123038,VISITA NO EFECTIVA,❌ No efectiva
1130889,NO CERTIFICADO,✅ Cumplidas
1132378,NO CERTIFICADO,✅ Cumplidas
1133269,CERTIFICADO,✅ Cumplidas
113806,NO CERTIFICADO,✅ Cumplidas
114200,CERTIFICADO,✅ Cumplidas
1161044,CERTIFICADO,✅ Cumplidas
1165605,CERTIFICADO,✅ Cumplidas
1176053,VISITA NO EFECTIVA,❌ No efectiva
1178537,CERTIFICADO,✅ Cumplidas
1180142,CERTIFICADO,✅ Cumplidas
1194260,CERTIFICADO,✅ Cumplidas
1205734,CERTIFICADO,✅ Cumplidas
1213971,CERTIFICADO,✅ Cumplidas
1217447,CERTIFICADO,✅ Cumplidas
1219456,CERTIFICADO,✅ Cumplidas
1219458,CERTIFICADO,✅ Cumplidas
1220448,NO CERTIFICADO,✅ Cumplidas
1220566,CERTIFICADO,✅ Cumplidas
1221486,VISITA NO EFECTIVA,❌ No efectiva
1222970,NO CERTIFICADO,✅ Cumplidas
1223367,CERTIFICADO,✅ Cumplidas
1225381,CERTIFICADO,✅ Cumplidas
1225575,VISITA NO EFECTIVA,❌ No efectiva
1227343,VISITA NO EFECTIVA,❌ No efectiva
123213,CERTIFICADO,✅ Cumplidas
1233448,CERTIFICADO,✅ Cumplidas
1234203,VISITA NO EFECTIVA,❌ No efectiva
12355,CERTIFICADO,✅ Cumplidas
1235663,VISITA NO EFECTIVA,❌ No efectiva
1236477,CERTIFICADO,✅ Cumplidas
1237570,CERTIFICADO,✅ Cumplidas
1240269,VISITA NO EFECTIVA,❌ No efectiva
1247241,VISITA NO EFECTIVA,❌ No efectiva
1258289,CERTIFICADO,✅ Cumplidas
1268109,CERTIFICADO,✅ Cumplidas
1271395,CERTIFICADO,✅ Cumplidas
12748,CERTIFICADO,✅ Cumplidas
1280061,NO CERTIFICADO,✅ Cumplidas
1295081,VISITA NO EFECTIVA,❌ No efectiva
1312617,CERTIFICADO,✅ Cumplidas
132257,CERTIFICADO,✅ Cumplidas
132348,CERTIFICADO,✅ Cumplidas
1328322,VISITA NO EFECTIVA,❌ No efectiva
1328832,CERTIFICADO,✅ Cumplidas
1348729,VISITA NO EFECTIVA,❌ No efectiva
1348779,VISITA NO EFECTIVA,❌ No efectiva
1349248,VISITA NO EFECTIVA,❌ No efectiva
1349904,CERTIFICADO,✅ Cumplidas
1350234,NO CERTIFICADO,✅ Cumplidas
1351847,CERTIFICADO,✅ Cumplidas
1351955,VISITA NO EFECTIVA,❌ No efectiva
135250,CERTIFICADO,✅ Cumplidas
1352960,CERTIFICADO,✅ Cumplidas
1353609,CERTIFICADO,✅ Cumplidas
1356741,CERTIFICADO,✅ Cumplidas
1358466,VISITA NO EFECTIVA,❌ No efectiva
1358847,CERTIFICADO,✅ Cumplidas
1358998,CERTIFICADO,✅ Cumplidas
1360762,CERTIFICADO,✅ Cumplidas
1360764,CERTIFICADO,✅ Cumplidas
1360774,CERTIFICADO,✅ Cumplidas
1360799,CERTIFICADO,✅ Cumplidas
1364699,VISITA NO EFECTIVA,❌ No efectiva
1364806,VISITA NO EFECTIVA,❌ No efectiva
1368823,CERTIFICADO,✅ Cumplidas
1369958,VISITA NO EFECTIVA,❌ No efectiva
1370295,CERTIFICADO,✅ Cumplidas
1370297,CERTIFICADO,✅ Cumplidas
1372140,CERTIFICADO,✅ Cumplidas
1373892,VISITA NO EFECTIVA,❌ No efectiva
1374238,CERTIFICADO,✅ Cumplidas
1377262,CERTIFICADO,✅ Cumplidas
1383830,CERTIFICADO,✅ Cumplidas
1386725,VISITA NO EFECTIVA,❌ No efectiva
143910,CERTIFICADO,✅ Cumplidas
1483628,CERTIFICADO,✅ Cumplidas
1637497,CERTIFICADO,✅ Cumplidas
1662811,CERTIFICADO,✅ Cumplidas
1667227,CERTIFICADO,✅ Cumplidas
1678203,CERTIFICADO,✅ Cumplidas
1700449,CERTIFICADO,✅ Cumplidas
1705151,NO CERTIFICADO,✅ Cumplidas
1708081,CERTIFICADO,✅ Cumplidas
1717118,CERTIFICADO,✅ Cumplidas
1717203,CERTIFICADO,✅ Cumplidas
1753309,VISITA NO EFECTIVA,❌ No efectiva
1753327,VISITA NO EFECTIVA,❌ No efectiva
1785732,CERTIFICADO,✅ Cumplidas
1803352,CERTIFICADO,✅ Cumplidas
1813690,CERTIFICADO,✅ Cumplidas
1820937,CERTIFICADO,✅ Cumplidas
1822780,NO CERTIFICADO,✅ Cumplidas
1824591,CERTIFICADO,✅ Cumplidas
1826428,CERTIFICADO,✅ Cumplidas
1826440,CERTIFICADO,✅ Cumplidas
1826446,CERTIFICADO,✅ Cumplidas
1827472,CERTIFICADO,✅ Cumplidas
1827524,CERTIFICADO,✅ Cumplidas
1827542,CERTIFICADO,✅ Cumplidas
1828053,CERTIFICADO,✅ Cumplidas
1842043,CERTIFICADO,✅ Cumplidas
1844388,CERTIFICADO,✅ Cumplidas
1844392,CERTIFICADO,✅ Cumplidas
1844478,CERTIFICADO,✅ Cumplidas
1844495,CERTIFICADO,✅ Cumplidas
1844505,CERTIFICADO,✅ Cumplidas
1844525,CERTIFICADO,✅ Cumplidas
1846903,CERTIFICADO,✅ Cumplidas
1847318,CERTIFICADO,✅ Cumplidas
1847625,CERTIFICADO,✅ Cumplidas
1847734,CERTIFICADO,✅ Cumplidas
1852267,CERTIFICADO,✅ Cumplidas
1853100,CERTIFICADO,✅ Cumplidas
1856172,NO CERTIFICADO,✅ Cumplidas
1867599,NO CERTIFICADO,✅ Cumplidas
1869133,CERTIFICADO,✅ Cumplidas
1875861,CERTIFICADO,✅ Cumplidas
1882998,CERTIFICADO,✅ Cumplidas
1885858,VISITA NO EFECTIVA,❌ No efectiva
1891879,CERTIFICADO,✅ Cumplidas
1896944,CERTIFICADO,✅ Cumplidas
1898506,NO CERTIFICADO,✅ Cumplidas
1900904,NO CERTIFICADO,✅ Cumplidas
1901369,CERTIFICADO,✅ Cumplidas
1902105,CERTIFICADO,✅ Cumplidas
1902717,CERTIFICADO,✅ Cumplidas
1902723,CERTIFICADO,✅ Cumplidas
1910373,CERTIFICADO,✅ Cumplidas
1910840,CERTIFICADO,✅ Cumplidas
1910845,CERTIFICADO,✅ Cumplidas
1910848,CERTIFICADO,✅ Cumplidas
1925656,CERTIFICADO,✅ Cumplidas
1927130,CERTIFICADO,✅ Cumplidas
1928475,CERTIFICADO,✅ Cumplidas
19374,CERTIFICADO,✅ Cumplidas
1938943,CERTIFICADO,✅ Cumplidas
1941789,CERTIFICADO,✅ Cumplidas
1962324,CERTIFICADO,✅ Cumplidas
200088,CERTIFICADO,✅ Cumplidas
202461,CERTIFICADO,✅ Cumplidas
202794,CERTIFICADO,✅ Cumplidas
206539,VISITA NO EFECTIVA,❌ No efectiva
206804,CERTIFICADO,✅ Cumplidas
207548,CERTIFICADO,✅ Cumplidas
208858,CERTIFICADO,✅ Cumplidas
2102472,CERTIFICADO,✅ Cumplidas
210586,VISITA NO EFECTIVA,❌ No efectiva
211544,CERTIFICADO,✅ Cumplidas
211707,NO CERTIFICADO,✅ Cumplidas
212037,CERTIFICADO,✅ Cumplidas
213285,CERTIFICADO,✅ Cumplidas
213663,CERTIFICADO,✅ Cumplidas
216587,CERTIFICADO,✅ Cumplidas
221729,CERTIFICADO,✅ Cumplidas
222630,CERTIFICADO,✅ Cumplidas
2228846,CERTIFICADO,✅ Cumplidas
223008,CERTIFICADO,✅ Cumplidas
223768,CERTIFICADO,✅ Cumplidas
2255824,NO CERTIFICADO,✅ Cumplidas
226510,CERTIFICADO,✅ Cumplidas
2268352,NO CERTIFICADO,✅ Cumplidas
2291929,CERTIFICADO,✅ Cumplidas
2292033,NO CERTIFICADO,✅ Cumplidas
2292056,CERTIFICADO,✅ Cumplidas
229862,NO CERTIFICADO,✅ Cumplidas
232157,NO CERTIFICADO,✅ Cumplidas
232829,CERTIFICADO,✅ Cumplidas
235465,CERTIFICADO,✅ Cumplidas
235671,VISITA NO EFECTIVA,❌ No efectiva
236562,CERTIFICADO,✅ Cumplidas
237943,NO CERTIFICADO,✅ Cumplidas
237946,VISITA NO EFECTIVA,❌ No efectiva
237948,VISITA NO EFECTIVA,❌ No efectiva
237985,VISITA NO EFECTIVA,❌ No efectiva
2398951,CERTIFICADO,✅ Cumplidas
240091,CERTIFICADO,✅ Cumplidas
2403044,CERTIFICADO,✅ Cumplidas
2403046,CERTIFICADO,✅ Cumplidas
2418107,VISITA NO EFECTIVA,❌ No efectiva
242830,CERTIFICADO,✅ Cumplidas
243528,CERTIFICADO,✅ Cumplidas
243562,CERTIFICADO,✅ Cumplidas
244453,CERTIFICADO,✅ Cumplidas
245032,CERTIFICADO,✅ Cumplidas
247279,VISITA NO EFECTIVA,❌ No efectiva
247294,VISITA NO EFECTIVA,❌ No efectiva
247843,CERTIFICADO,✅ Cumplidas
2481688,CERTIFICADO,✅ Cumplidas
2489226,CERTIFICADO,✅ Cumplidas
2506358,NO CERTIFICADO,✅ Cumplidas
2506361,CERTIFICADO,✅ Cumplidas
2506362,NO CERTIFICADO,✅ Cumplidas
2506365,CERTIFICADO,✅ Cumplidas
2506394,NO CERTIFICADO,✅ Cumplidas
251431,CERTIFICADO,✅ Cumplidas
2521279,CERTIFICADO,✅ Cumplidas
252472,CERTIFICADO,✅ Cumplidas
2525377,CERTIFICADO,✅ Cumplidas
2526195,CERTIFICADO,✅ Cumplidas
252722,CERTIFICADO,✅ Cumplidas
2529480,CERTIFICADO,✅ Cumplidas
2529825,CERTIFICADO,✅ Cumplidas
2531541,CERTIFICADO,✅ Cumplidas
253435,CERTIFICADO,✅ Cumplidas
2537465,VISITA NO EFECTIVA,❌ No efectiva
2537474,CERTIFICADO,✅ Cumplidas
2537539,CERTIFICADO,✅ Cumplidas
2537645,CERTIFICADO,✅ Cumplidas
2537658,NO CERTIFICADO,✅ Cumplidas
2537659,CERTIFICADO,✅ Cumplidas
2537742,NO CERTIFICADO,✅ Cumplidas
2537749,CERTIFICADO,✅ Cumplidas
2538353,VISITA NO EFECTIVA,❌ No efectiva
2538935,CERTIFICADO,✅ Cumplidas
2540033,CERTIFICADO,✅ Cumplidas
254012,CERTIFICADO,✅ Cumplidas
2541361,CERTIFICADO,✅ Cumplidas
2541441,CERTIFICADO,✅ Cumplidas
2542407,CERTIFICADO,✅ Cumplidas
2546174,NO CERTIFICADO,✅ Cumplidas
2548120,CERTIFICADO,✅ Cumplidas
2549088,CERTIFICADO,✅ Cumplidas
2550966,CERTIFICADO,✅ Cumplidas
2553209,CERTIFICADO,✅ Cumplidas
2555795,CERTIFICADO,✅ Cumplidas
2557270,CERTIFICADO,✅ Cumplidas
2558016,VISITA NO EFECTIVA,❌ No efectiva
2558020,VISITA NO EFECTIVA,❌ No efectiva
2563144,CIERRE ADMINISTRATIVO,! Pendiente
2564019,CERTIFICADO,✅ Cumplidas
2572320,NO CERTIFICADO,✅ Cumplidas
257910,CERTIFICADO,✅ Cumplidas
2579608,CERTIFICADO,✅ Cumplidas
258118,NO CERTIFICADO,✅ Cumplidas
2582586,CERTIFICADO,✅ Cumplidas
258550,CERTIFICADO,✅ Cumplidas
2586685,CERTIFICADO,✅ Cumplidas
2586689,CERTIFICADO,✅ Cumplidas
2586792,CERTIFICADO,✅ Cumplidas
258882,CERTIFICADO,✅ Cumplidas
2589572,NO CERTIFICADO,✅ Cumplidas
2589949,CERTIFICADO,✅ Cumplidas
2590596,CERTIFICADO,✅ Cumplidas
2590828,CERTIFICADO,✅ Cumplidas
259288,CERTIFICADO,✅ Cumplidas
259324,CERTIFICADO,✅ Cumplidas
2597258,CERTIFICADO,✅ Cumplidas
259745,CERTIFICADO,✅ Cumplidas
260032,CERTIFICADO,✅ Cumplidas
2609886,CERTIFICADO,✅ Cumplidas
2619694,CERTIFICADO,✅ Cumplidas
262009,CERTIFICADO,✅ Cumplidas
263047,VISITA NO EFECTIVA,❌ No efectiva
263050,CERTIFICADO,✅ Cumplidas
263057,VISITA NO EFECTIVA,❌ No efectiva
263061,VISITA NO EFECTIVA,❌ No efectiva
263073,CERTIFICADO,✅ Cumplidas
263087,VISITA NO EFECTIVA,❌ No efectiva
263102,VISITA NO EFECTIVA,❌ No efectiva
263103,VISITA NO EFECTIVA,❌ No efectiva
264416,CERTIFICADO,✅ Cumplidas
264726,CERTIFICADO,✅ Cumplidas
264826,CERTIFICADO,✅ Cumplidas
265104,CERTIFICADO,✅ Cumplidas
265901,CERTIFICADO,✅ Cumplidas
266874,CERTIFICADO,✅ Cumplidas
269065,CERTIFICADO,✅ Cumplidas
269214,CERTIFICADO,✅ Cumplidas
2712589,CIERRE ADMINISTRATIVO,! Pendiente
272279,CERTIFICADO,✅ Cumplidas
272323,CERTIFICADO,✅ Cumplidas
272564,CERTIFICADO,✅ Cumplidas
273030,CERTIFICADO,✅ Cumplidas
273031,CERTIFICADO,✅ Cumplidas
273361,CERTIFICADO,✅ Cumplidas
274353,CERTIFICADO,✅ Cumplidas
274354,CERTIFICADO,✅ Cumplidas
277791,CERTIFICADO,✅ Cumplidas
2779,CERTIFICADO,✅ Cumplidas
278934,CERTIFICADO,✅ Cumplidas
279132,CERTIFICADO,✅ Cumplidas
279731,CERTIFICADO,✅ Cumplidas
2837708,CIERRE ADMINISTRATIVO,! Pendiente
284462,CERTIFICADO,✅ Cumplidas
284538,CERTIFICADO,✅ Cumplidas
284800,CERTIFICADO,✅ Cumplidas
286394,CERTIFICADO,✅ Cumplidas
287969,CERTIFICADO,✅ Cumplidas
288713,CERTIFICADO,✅ Cumplidas
